1997-11-18,802.11-1997
1998-11-30,802.11-1999
1999-12-30,802.11a-1999
2000-01-20,802.11b-1999
2001-07-13,802.11d-2001
2021-11-07,802.11b-1999/Cor 1-2001
2003-06-27,802.11g-2003
